id,sport,league,match,odds,match_date,status,created_at,updated_at,betting_company_id,stake,total_win,result_id
da295e9c-34db-4dcd-8b12-21cae919462d,Volejbal,CEV,Janta - Mladost,1.030,2025-11-26 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,600,618,dce0bb02-eec7-4e35-8979-27d3ad80e626
dfdf3b72-213a-4f66-9993-78cffd5344ef,Tenis,UTR Olomouc ž,Kucmova-Wirglerova,1.390,2025-12-12 00:00:00+00,win,2025-12-26 14:20:29.770393+00,2025-12-26 19:56:00.39438+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,100,139,38550af5-80c0-4fbf-8530-3faefc77872d
e0fed7a4-c50a-4ef1-bf96-c97e79646763,Volleyball,Grécko nc U20 ž,Daso-Elpis,1.040,2025-12-22 19:45:18.368+00,win,2025-12-29 20:55:14.552529+00,2025-12-29 20:55:18.55084+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,416,dce0bb02-eec7-4e35-8979-27d3ad80e626
e4924f9f-25d7-4ef9-ac66-9a2d998d696c,Tenis,UTR Oxford,Pires - Whitwell,1.040,2025-11-30 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,416,38550af5-80c0-4fbf-8530-3faefc77872d
e73cce97-e376-4c7a-bbc3-073130ef5175,Futbal,,Moldavsko - Taliansko,1.100,2025-11-13 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,6d2cf267-5c64-4a13-821b-dac127755e3a,100,110,dce0bb02-eec7-4e35-8979-27d3ad80e626
e77add39-1c0a-4c2b-9c5f-b7d1c0f42193,Tenis,W35 Pune,India P. Honova - M. Ozeki,1.080,2025-11-06 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,324,38550af5-80c0-4fbf-8530-3faefc77872d
eb4b41a4-5da3-4f6b-b408-91174599072d,Tenis,ITF Azul,Ambrogi - Dreer,1.040,2025-11-13 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,312,38550af5-80c0-4fbf-8530-3faefc77872d
ed114234-3dbe-4eff-960f-be2985da58fa,Tenis,UTR Newport,Gasanova A. - Boyer L.,1.040,2025-11-01 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,312,38550af5-80c0-4fbf-8530-3faefc77872d
ed913b81-2951-4e49-ac03-437b7e87c654,Tenis,UTR Craigieburn ž,Cvijanovic-McPhee,1.060,2025-12-16 00:00:00+00,win,2025-12-26 14:20:11.405406+00,2025-12-26 19:45:31.351093+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,318,dce0bb02-eec7-4e35-8979-27d3ad80e626
ee1268b9-094b-4b09-874b-45718775f51e,Tennis,Monastir ž štvorhra,Mi/Sakelaridi-Choi/Nishi,1.140,2025-12-26 12:00:46.773+00,win,2025-12-29 21:00:33.892459+00,2025-12-29 21:00:38.105886+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,227.99999999999997,38550af5-80c0-4fbf-8530-3faefc77872d
f3e5dbc0-404c-4222-8c5c-783b7c80d1ff,Hadzana,,Metz - DVSC,1.050,2025-11-15 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,6d2cf267-5c64-4a13-821b-dac127755e3a,200,210,38550af5-80c0-4fbf-8530-3faefc77872d
f5cdebad-2cf1-4178-962b-fca786fa5848,Tenis,,Masters Sinner - Zverev,1.110,2025-11-12 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,222,38550af5-80c0-4fbf-8530-3faefc77872d
f82b114b-91ba-49e4-aaa9-887e92a9375a,Tennis,Quito ž,Udvardy-Cherubini,1.070,2025-12-02 20:09:12.952+00,win,2025-12-29 19:10:13.304984+00,2025-12-29 19:10:18.319224+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,214,38550af5-80c0-4fbf-8530-3faefc77872d
ff7072ff-2c3f-4d3f-9cf6-76d37a85a6c3,Volejbal,Izrael m,Mate Asher-Kiryat,1.030,2025-12-09 00:00:00+00,win,2025-12-17 17:29:21.234369+00,2025-12-18 19:10:03.967136+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,600,618,38550af5-80c0-4fbf-8530-3faefc77872d
ff805ca7-6b66-48a4-9bf9-90140cdafa91,Futbal,Kvalifikácia MS,Dánsko-Bielorusko,1.080,2025-11-15 19:30:59.863+00,loss,2025-12-29 19:04:23.452025+00,2025-12-29 19:04:31.563978+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,200,0,38550af5-80c0-4fbf-8530-3faefc77872d
